#{"t_start": 1735544024.913454, "env_id": "None"}
r,l,t
384.900978,191,0.921447
288.86484,421,1.676951
473.115215,38,1.745607
486.470617,21,1.777752
462.564171,58,1.850282
491.373556,20,1.891781
328.263178,316,2.452914
46.153943,632,3.582003
-126.746941,800,6.803526
106.261248,567,7.829251
295.409965,380,8.521207
479.617718,28,8.58151
158.461718,552,9.591573
194.001793,571,12.277319
-244.418467,800,13.722163
474.589948,46,13.798802
-187.884525,800,16.748595
-237.319099,800,18.121873
111.960775,610,19.225477
215.637274,462,20.066245
176.745973,631,22.864828
97.753999,732,24.174019
416.788488,163,24.413351
451.015497,69,24.492359
436.616535,127,24.696451
282.152742,318,25.211818
497.96175,9,25.220084
400.474855,166,27.132858
-137.9034,800,28.547591
399.820931,147,28.80371
473.77294,44,28.891703
408.466076,136,29.12543
25.113396,765,30.489654
334.602182,207,32.597382
246.806512,337,33.169725
491.907924,21,33.203777
430.534902,92,33.367414
-12.766273,794,34.686513
-121.090757,800,37.718902
497.470897,9,37.735199
441.040531,104,37.925001
476.111219,59,38.0354
-101.806085,800,39.504723
485.292907,26,39.541726
498.792398,7,39.560923
396.34682,148,39.826328
422.065078,137,40.067236
432.502085,104,40.252531
494.241488,15,40.276117
257.073097,447,41.078057
422.266244,141,42.991862
-260.991957,800,44.462956
435.737006,100,44.652307
324.08353,289,45.170102
458.827909,82,45.310841
148.387998,593,46.373776
227.580716,566,48.995327
363.426193,242,49.413075
482.968227,46,49.505169
278.412063,422,50.232587
494.345435,12,50.260224
179.878629,544,50.982457
448.900444,88,51.126552
489.174564,32,51.184646
360.706794,268,53.35507
476.346236,61,53.459371
495.435169,19,53.499399
167.852675,672,54.678646
335.99896,375,55.335311
414.23921,180,55.655398
434.52676,127,55.882031
419.997102,169,56.199819
418.18975,163,56.484757
421.59077,157,56.776759
107.019691,693,59.64876
437.032126,134,59.871591
499.331595,4,59.882368
229.507673,539,60.824647
364.797936,235,61.221868
418.03956,177,61.523544
478.280076,48,61.605099
440.185707,91,61.747659
454.30049,87,61.895593
281.197161,401,64.302831
338.282742,302,64.823374
332.975149,361,65.465799
118.110566,644,66.645968
203.98425,574,69.322828
483.945347,43,69.439031
430.488717,153,69.71331
427.2068,138,69.952442
485.733602,40,70.020719
424.860928,139,70.270205
-159.595235,800,71.6599
414.578322,161,71.942642
439.440552,108,72.134691
452.165104,135,72.374044
472.974423,53,72.461262
381.464127,224,74.555162
402.356006,242,74.973758
-164.840868,800,76.428893
468.648657,67,76.552875
334.140687,422,77.294955
436.132282,145,77.556056
168.067033,748,80.505592
465.818447,50,80.589175
492.43171,16,80.608633
389.283942,228,81.011761
461.003837,112,81.229629
344.873971,337,81.854264
480.580604,54,81.960382
500.0,1,81.963025
410.185378,194,82.30196
-37.019972,734,85.346642
470.340866,59,85.443654
432.456796,207,85.837614
453.926455,89,86.016628
385.465938,237,86.465675
361.42534,315,87.02479
497.880718,8,87.037641
379.128808,289,87.58289
302.938598,419,88.347577
429.037897,131,88.576298
248.642388,510,91.189475
482.861647,51,91.287527
377.925284,273,91.767984
395.669937,235,92.069699
222.656912,673,93.265326
368.487123,250,93.714774
391.874667,267,95.869632
483.024064,33,95.93173
365.332244,295,96.444614
441.512954,130,96.661106
431.937648,192,97.012273
479.410351,52,97.098768
349.725682,259,97.562181
499.059615,4,97.573254
473.033747,71,97.689793
-36.09403,800,98.929453
461.875224,66,99.043555
343.866967,414,101.300279
361.606783,307,101.83133
359.300321,247,102.243749
492.190277,15,102.283567
499.483589,4,102.293305
402.562103,310,102.8234
458.517215,102,103.010273
468.834204,98,103.180531
489.742666,47,103.26778
267.350806,352,103.867968
-113.876592,800,106.886658
459.258798,73,106.987074
392.075626,268,107.382713
417.595352,207,107.59742
473.301588,45,107.670101
230.055458,513,108.575321
293.0351,527,111.000785
410.767647,170,111.303591
456.830197,92,111.462914
489.801088,23,111.503349
461.667511,82,111.640946
384.056898,247,112.085172
491.182615,23,112.117504
376.930755,316,112.683784
287.766555,353,113.324729
424.823955,136,113.575044
427.647438,159,113.859329
388.399888,176,114.178146
470.394168,76,114.313944
115.122492,704,117.209322
358.274841,272,117.693976
495.708145,18,117.720605
493.626008,16,117.753469
498.136986,10,117.776948
468.79774,59,117.866474
497.195267,9,117.891217
317.925479,450,118.690533
475.491406,63,118.809534
499.936014,2,118.815175
380.610973,210,119.188029
-147.927396,800,121.942593
395.769009,220,122.342649
395.427829,208,122.689128
346.988327,352,123.315583
496.869667,11,123.326742
467.527931,70,123.456913
427.67471,218,123.83594
485.283197,23,123.888695
458.725218,106,124.077637
493.504792,20,124.098588
493.027814,24,124.150453
391.329226,204,124.529195
430.547536,141,126.407084
441.468957,148,126.666774
462.250128,101,126.823666
485.141836,42,126.898156
196.049265,563,127.860423
272.544225,516,128.74408
398.894798,283,129.231866
361.356891,294,129.72959
425.204308,194,131.79103
410.135772,177,132.090001
275.856093,578,133.111303
442.425839,142,133.364072
473.903777,53,133.453519
38.193692,800,134.886078
324.540685,413,137.262555
219.827632,612,138.310969
262.541905,419,139.030434
465.159701,72,139.158982
-115.324763,800,142.168889
355.509417,262,142.634608
489.319304,32,142.683297
404.089914,202,143.041977
427.519703,123,143.243616
475.301426,54,143.34005
405.049922,227,143.71133
269.997518,397,144.39527
450.727615,122,144.601025
95.846785,772,147.627253
456.264925,107,147.813982
467.442099,80,147.955356
456.525773,91,148.118194
483.157831,39,148.186051
488.409829,18,148.214561
476.671136,66,148.326916
381.944109,301,148.836843
498.571531,9,148.845295
476.546303,112,149.038946
24.049834,800,150.430935
-49.552232,800,153.220634
488.096649,38,153.282655
462.240942,94,153.456467
480.122624,34,153.512338
336.648172,328,154.046765
366.494429,314,154.563754
497.829359,6,154.569135
391.294271,286,155.038161
447.490969,103,155.216283
395.502378,254,157.312145
445.513015,88,157.469061
420.245995,215,157.834188
497.671648,7,157.840949
498.884153,7,157.850547
460.437236,98,158.029237
-66.704111,800,159.457007
407.826319,229,159.859846
448.892642,179,160.166362
433.527697,138,160.413604
337.033636,427,162.803123
456.994806,88,162.966411
481.222905,38,163.032454
492.489424,17,163.054962
347.104611,313,163.607413
378.507909,347,164.179625
497.198569,7,164.194516
497.488777,9,164.203655
487.212616,43,164.276853
454.516234,159,164.56449
13.54607,800,165.94978
407.517262,196,167.974048
450.323795,140,168.221654
465.314516,104,168.405253
330.89789,357,169.00799
313.274494,364,169.629745
422.200539,145,169.880735
491.494068,20,169.899457
445.775861,117,170.0936
477.64586,47,170.168355
438.937366,154,170.42632
467.254681,117,170.624505
428.291929,155,170.888245
481.388112,39,170.956571
489.34254,41,171.032987
468.643732,71,171.149475
464.545028,74,172.818264
432.756799,159,173.104549
431.915094,176,173.388369
405.962973,232,173.772663
479.322336,33,173.833535
354.573051,340,174.387129
476.087046,57,174.486798
473.086961,59,174.594656
395.42696,256,175.019439
476.329943,55,175.12994
458.988279,120,175.33035
309.954771,458,176.146703
239.948571,535,178.735585
431.717795,198,179.084673
476.538721,75,179.214682
387.022532,233,179.600856
492.056203,24,179.647027
489.122493,26,179.678647
488.690676,28,179.73591
449.794483,95,179.888921
433.545326,178,180.189816
462.287867,94,180.360111
394.385718,241,180.75831
417.876603,184,181.047874
215.457709,562,183.148513
475.798421,52,183.224163
483.740048,45,183.28999
498.692528,4,183.293628
235.66699,567,184.085834
487.69332,38,184.137028
346.491935,346,184.627103
500.0,1,184.629173
481.140621,56,184.710284
403.346128,211,185.009005
420.727966,232,185.330732
448.710657,97,185.470891
-118.064982,800,187.956784
487.032664,23,187.992234
456.263075,118,188.165444
383.006927,318,188.618488
475.593208,64,188.709848
480.070288,39,188.764217
478.95127,41,188.826464
406.261358,223,189.147156
205.096383,696,191.538811
440.472677,146,191.753612
455.465307,93,191.888859
408.839658,187,192.156032
343.953564,419,192.769305
181.007757,599,193.647938
460.183319,117,193.821735
376.875286,260,195.597846
486.830886,36,195.652411
455.036297,130,195.843842
428.991445,194,196.123312
405.605128,206,196.422609
495.577966,15,196.444033
468.521726,68,196.543717
426.059565,165,196.781339
460.27322,128,196.96725
490.399376,25,197.003482
340.620178,505,197.739725
391.041252,259,198.11613
497.430446,9,198.130359
491.552317,18,198.158911
496.574689,10,198.173402
494.357051,24,198.208102
489.015924,27,198.249767
497.656893,15,198.272927
496.74074,12,198.293059
465.647787,110,198.450856
446.125236,126,200.033253
415.66551,186,200.299989
459.748328,108,200.452257
429.690139,209,200.747005
444.282821,180,201.003163
368.76344,292,201.416841
487.189224,32,201.46143
500.0,1,201.462483
493.462621,33,201.512174
342.848701,422,202.126798
411.792362,167,202.363444
433.528148,163,202.596615
447.085235,128,202.78108
491.221156,16,202.804036
477.555306,58,204.279909
325.579568,301,204.718505
384.707292,221,205.032275
462.950688,117,205.199142
449.93736,158,205.424704
480.285081,44,205.489779
402.417855,212,205.7969
486.260906,82,205.917809
374.553416,266,206.275931
474.366323,48,206.344455
492.614914,29,206.38809
494.393437,21,206.416155
278.340007,584,208.611388
490.513702,21,208.644284
498.144201,9,208.656288
492.394232,20,208.689355
479.384733,38,208.724704
493.788567,17,208.741013
410.320129,275,209.115857
489.055464,30,209.167178
478.099722,59,209.259792
355.226164,275,209.648539
494.628831,14,209.669732
322.606188,499,210.387153
420.725191,176,210.635668
487.008948,51,210.709825
440.455505,177,210.956436
437.593762,147,211.163563
484.774155,50,211.234785
456.576699,100,211.377133
435.603923,155,213.013046
436.783791,193,213.295367
448.948068,173,213.541516
460.035707,114,213.70042
449.892742,158,213.923647
437.377481,161,214.156487
497.40373,7,214.164034
485.843975,46,214.237896
498.608653,6,214.246806
480.609276,51,214.322905
491.59322,25,214.357784
435.729349,123,214.540556
494.472876,12,214.554476
433.336514,141,214.758768
343.085323,366,215.287323
409.381426,234,215.622858
457.759015,92,215.756113
475.724883,69,217.282602
488.593868,23,217.317448
494.198859,20,217.347434
430.607366,199,217.642901
420.602522,273,218.048588
499.119016,7,218.059534
366.009015,373,218.601193
459.973934,106,218.760214
400.585446,284,219.187395
489.713024,29,219.231737
499.735289,3,219.234773
478.82396,41,219.296033
456.771459,115,219.461859
491.971146,21,219.495216
431.186225,166,219.730368
403.418274,245,220.079843
454.630943,109,220.234551
456.338583,101,221.806075
494.101372,19,221.837736
490.566002,14,221.858641
378.930908,292,222.288958
489.492283,35,222.341209
478.667538,68,222.439712
481.556464,39,222.496367
436.226342,200,222.792645
464.000601,137,223.007583
474.296309,74,223.102776
360.315938,385,223.662091
466.422154,75,223.772933
499.097226,4,223.777774
487.722088,17,223.804965
489.340277,30,223.851765
486.466433,59,223.937983
495.191728,22,223.967404
416.018454,228,224.300606
499.650641,3,224.303384
396.864295,248,226.115169
496.134671,11,226.133469
464.822998,88,226.265707
479.796411,33,226.316457
498.70011,4,226.324697
455.836532,109,226.482275
496.235152,12,226.501187
482.98791,41,226.564539
465.121345,92,226.698359
485.815941,39,226.757785
442.896262,126,226.940248
497.858729,12,226.957655
287.313965,577,227.800819
482.937484,28,227.843956
488.664616,37,227.907656
476.997768,72,228.012214
449.708521,168,228.253542
384.256909,282,228.652746
472.149949,71,228.753278
488.253641,13,228.772616
488.269517,33,228.824837
494.942127,16,228.848173
353.693472,389,230.743161
494.097386,11,230.761408
482.996058,57,230.845918
493.717923,28,230.887864
479.804827,62,230.98292
495.596798,12,230.999598
262.568051,491,231.732369
492.748733,19,231.760282
491.55539,24,231.798407
376.268749,300,232.225228
496.618156,15,232.24802
496.398477,10,232.262555
480.609622,66,232.365241
496.622102,14,232.387569
468.947634,102,232.480954
448.513717,89,232.562064
423.329758,184,232.803105
484.841366,64,232.895939
493.159518,32,232.947268
486.211364,46,233.01707
499.020728,5,233.021882
489.899011,18,233.047359
480.901125,37,233.105881
498.474178,6,233.111305
490.73869,43,233.177036
472.899343,64,233.267162
402.768135,250,234.978695
481.643137,60,235.071805
494.393792,17,235.101187
473.260778,63,235.196357
498.590123,11,235.215255
391.867737,373,235.74091
492.343898,38,235.796846
337.354878,463,236.462224
466.578133,78,236.582023
495.562108,17,236.607148
493.943097,21,236.638947
463.250438,76,236.751565
485.381073,48,236.820308
484.587697,33,236.868621
343.42229,327,237.334697
488.590622,39,237.390856
495.840773,17,237.412287
490.456113,18,237.442305
463.195433,116,237.613056
489.966768,46,239.159676
495.803767,13,239.180022
490.062542,35,239.234828
464.091618,88,239.364635
477.068799,73,239.471267
471.439743,85,239.597604
489.117,33,239.648224
426.729688,219,239.967061
465.802189,94,240.106377
439.505188,167,240.347613
491.667778,21,240.376579
426.17598,211,240.677855
496.205554,16,240.700605
439.231461,148,240.908675
490.149493,35,240.962347
486.231058,52,241.034776
369.636618,379,241.574201
